location,skill,frequency
"Madison, WI",sand blasting machine parts,1
"Madison, WI",Perl,1
"Madison, WI",Python,1
"Madison, WI",computer programming,1
"Madison, WI",MySQL,1
"Madison, WI",SQL Server,1
"Madison, WI",Oracle Warehouse Builder,1
"Madison, WI",PostgreSQL,1
"Madison, WI",create prototype of user experience solutions,1
"Madison, WI",natural gas,1
"Atlanta, GA",manage athletes,1
"Atlanta, GA",database,1
"Atlanta, GA",web services,1
"Atlanta, GA",Web API,1
"Atlanta, GA",select soap shaping plate,1
"Atlanta, GA",JavaScript,1
"Atlanta, GA",HTTP,1
"Atlanta, GA",Client-Server Architecture,1
"New York, NY",Java (computer programming),1
"New York, NY",Scikit-learn,1
"New York, NY",PyTorch,1
"New York, NY",Dask,1
"New York, NY",TensorFlow,1
"Frisco, TX",reverse engineering,1
"Frisco, TX",search engines,1
"San Francisco, CA",Java (computer programming),1
"San Francisco, CA",C++,1
"San Francisco, CA",PyTorch,1
"San Francisco, CA",TensorFlow,1
"San Francisco, CA",ML (computer programming),1
"San Francisco, CA",machine learning,1
"San Francisco, CA",natural language processing,1
"San Francisco, CA",Graph Analytics,1
"Denver, CO",SQL,1
"Denver, CO",Microsoft Excel,1
United States,Adobe Experience Platform,1
United States,glue film reels,1
United States,AWS Lambda,1
United States,"data extraction, transformation and loading tools",1
United States,PostgreSQL,1
"Santa Clara, CA",Python,1
"Santa Clara, CA",JavaScript,1
"Santa Clara, CA",manage athletes,1
"Santa Clara, CA",C++,1
"Santa Clara, CA",C#,1
"Santa Clara, CA",SQL,1
"Downers Grove, IL",business analysis,1
"Downers Grove, IL",interact with users to gather requirements,1
"Downers Grove, IL",write specifications,1
"Downers Grove, IL",plan,1
"Downers Grove, IL",Workflow Analysis,1
"Downers Grove, IL",computer programming,1
"Downers Grove, IL",statistics,1
"Downers Grove, IL",business processes,1
"Downers Grove, IL",project management,1
"Durham, NC",statistics,1
"Durham, NC",Data Manipulation,1
"Durham, NC",smart contract programming languages,1
"Durham, NC",SAS,1
"North Carolina, United States",machine learning,1
"North Carolina, United States",natural language processing,1
"North Carolina, United States",Generative AI,1
"North Carolina, United States",Microservices,1
"North Carolina, United States",C#,1
"North Carolina, United States",types of tidal stream generators,1
"North Carolina, United States",reverse engineering,1
"North Carolina, United States",Cloud Platform,1
"North Carolina, United States",Python,1
"North Carolina, United States",statistics,1
"Boston, MA",Python,1
"Boston, MA",SQL,1
"Boston, MA",radiotherapy,1
"Boston, MA",data models,1
"Boston, MA",natural gas,1
"Boston, MA",data visualisation software,1
"Atlanta, GA",SAS Data Management,1
"Atlanta, GA",data analytics,1
"Atlanta, GA",data engineering,1
"Atlanta, GA",cloud technologies,1
"Atlanta, GA",Snowflake,1
"Atlanta, GA",Application Performance Monitoring,1
"Tampa, FL","data extraction, transformation and loading tools",1
"Tampa, FL",learning management systems,1
"Tampa, FL",Python,1
"Tampa, FL",Relational Database,1
"Tampa, FL",NoSQL Database,1
"Tampa, FL",iron textiles,1
"Reston, VA",machine learning,1
"Reston, VA",lead process optimisation,1
"Reston, VA",computer science,1
"Reston, VA",design application interfaces,1
"Columbus, OH",Python,1
"Columbus, OH",SAS,1
"Columbus, OH",computer programming,1
"Columbus, OH",integrated circuits,1
"Columbus, OH",Tableau,1
"Columbus, OH",Tableau Server,1
"Columbus, OH",SAS Enterprise Guide,1
"Columbus, OH",Java (computer programming),1
"Columbus, OH",C++,1
"Columbus, OH",manage athletes,1
"Columbus, OH",CSS,1
"Columbus, OH",Perl,1
"Columbus, OH",JavaScript,1
"Des Moines, IA",ICT project management methodologies,1
"Des Moines, IA",computer technology,1
"Des Moines, IA",Jira,1
"Des Moines, IA",use online tools to collaborate,1
"Richardson, TX",Microsoft Access,1
"Richardson, TX",Microsoft Excel,1
"Richardson, TX",Power BI,1
"Richardson, TX",develop statistical software,1
"New York, NY",Data Manipulation,1
"New York, NY",data models,1
"New York, NY",statistical modeling techniques,1
"New York, NY",data mining,1
"Auburn Hills, MI",Python,1
"Auburn Hills, MI",statistical modeling techniques,1
"Auburn Hills, MI",use computer telephony integration,1
"Auburn Hills, MI",data mining,1
"Auburn Hills, MI",database management systems,1
"Auburn Hills, MI",SQL,1
"Auburn Hills, MI",computer programming,1
"Auburn Hills, MI",pharmacognosy,1
"San Antonio, TX",reverse engineering,1
"San Antonio, TX",Azure Data Lake Storage,1
"San Antonio, TX",Oracle Application Development Framework,1
"San Antonio, TX",Azure Synapse,1
"San Antonio, TX",logic,1
"San Antonio, TX",Azure Event Hub,1
"San Antonio, TX",Python,1
"San Antonio, TX",R,1
"San Antonio, TX",SQL,1
"Brownsville, TX",search engines,1
United States,Metabase,1
"Austin, TX",machine learning,1
"Austin, TX",data engineering,1
"Austin, TX",algorithms,1
"Austin, TX",Apache Spark,1
"Austin, TX",ML (computer programming),1
"Austin, TX",Graph Theory,1
"Florham Park, NJ",Power BI,1
"Florham Park, NJ",SQL,1
"Florham Park, NJ",Python,1
"Florham Park, NJ",Apache Spark,1
"Florham Park, NJ",DAX,1
"Florham Park, NJ",data models,1
"Florham Park, NJ",data visualisation software,1
"Austin, TX",Data Manipulation,1
"Austin, TX",computer programming,1
"New York, NY","data extraction, transformation and loading tools",1
"New York, NY",Oracle DRM,1
"New York, NY",SAP Data Services,1
"New York, NY",learning management systems,1
"New York, NY",Oracle Essbase,1
"California, United States",computer programming,1
"California, United States",machine learning,1
"California, United States",artificial neural networks,1
"California, United States",deep learning,1
"California, United States",Python,1
"California, United States",TensorFlow,1
"California, United States",PyTorch,1
"California, United States",Java (computer programming),1
"California, United States",C++,1
"California, United States",learning management systems,1
"California, United States",natural language processing,1
"California, United States",computer vision,1
"Fairfax, VA",Jira,1
"Fairfax, VA",use online tools to collaborate,1
"Fairfax, VA",ICT project management methodologies,1
United States,Oracle Data Integrator,1
United States,ML (computer programming),1
United States,create prototype of user experience solutions,1
United States,Cloud Platform,1
United States,social work theory,1
United States,Microsoft Azure,1
United States,DevOps,1
"Milpitas, CA",Oracle E-Business Suite,1
"Milpitas, CA",economics,1
"Milpitas, CA",supply chain management,1
"Cincinnati, OH",computer programming,1
"Charlotte, NC",SAP Data Services,1
"Charlotte, NC",SAP R3,1
"Charlotte, NC",radiotherapy,1
"Charlotte, NC",data engineering,1
"Charlotte, NC",SQL,1
"Charlotte, NC",Snowflake,1
"Charlotte, NC",IBM InfoSphere DataStage,1
"Woodbridge, NJ",use computer telephony integration,1
"Woodbridge, NJ",data mining,1
"Woodbridge, NJ",Nonlinear Regression,1
"Woodbridge, NJ",Multivariate Analysis,1
"Woodbridge, NJ",Bayesian Statistics,1
"Woodbridge, NJ",Generalized Linear Models,1
"Woodbridge, NJ",computer programming,1
"Woodbridge, NJ",SAS,1
"Woodbridge, NJ",SQL,1
"Woodbridge, NJ",R,1
"Woodbridge, NJ",Python,1
"New York, NY",electronics,1
"New Jersey, United States",SQL,1
"New Jersey, United States",R,1
"New Jersey, United States",Apache Hadoop,1
"Basking Ridge, NJ",logic,1
"Basking Ridge, NJ",data visualisation software,1
"Basking Ridge, NJ",database management systems,1
"Basking Ridge, NJ",computer programming,1
"Basking Ridge, NJ",sing,1
"Basking Ridge, NJ",ICT project management methodologies,1
"Basking Ridge, NJ",computer technology,1
"Basking Ridge, NJ",Microsoft Office,1
"Anchorage, AK",Python,1
"Anchorage, AK",C++,1
"Anchorage, AK",Java (computer programming),1
"Anchorage, AK",SQL,1
"Anchorage, AK",Perl,1
"Anchorage, AK",data visualisation software,1
"Anchorage, AK",Microsoft Excel,1
"Anchorage, AK",Power BI,1
"Anchorage, AK",DevOps,1
"Anchorage, AK",Infrastructure as Code,1
"Dallas, TX",cloud technologies,1
"Dallas, TX",data engineering,1
"Dallas, TX",Image Processing,1
"Dallas, TX",Edge Computing,1
"Dallas, TX",data quality assessment,1
"Dallas, TX",Performance Optimization,1
"Dallas, TX",think creatively,1
"Dallas, TX",database,1
"Dallas, TX",DevOps,1
"Dallas, TX",CI/CD,1
"Dallas, TX",Docker,1
"Phoenix, AZ",SQL,1
"Phoenix, AZ",SAS,1
"Phoenix, AZ",business intelligence,1
"Phoenix, AZ",Python,1
"Phoenix, AZ",artificial neural networks,1
"Phoenix, AZ",data mining,1
"Phoenix, AZ",Microsoft Excel,1
"Phoenix, AZ",statistics,1
"Phoenix, AZ",data visualisation software,1
"Irvine, CA",Python,1
"Irvine, CA",SQL Server Integration Services,1
"Irvine, CA",DAX,1
"Irvine, CA",apply statistical analysis techniques,1
"Irvine, CA",SQL Server,1
"Irvine, CA",Oracle Warehouse Builder,1
"Irvine, CA",Microsoft Excel,1
"Irvine, CA",Azure Data Factory,1
"Memphis, TN",R,1
"Memphis, TN",Power BI,1
Greater Chicago Area,statistics,1
Greater Chicago Area,machine learning,1
Greater Chicago Area,principles of artificial intelligence,1
Greater Chicago Area,mathematical modelling,1
Greater Chicago Area,Python,1
Greater Chicago Area,C++,1
United States,Chatbots,1
United States,learning management systems,1
United States,Retrieval-Augmented Generation,1
United States,TensorFlow,1
United States,REST API,1
United States,database management systems,1
United States,Git,1
United States,Jupyter Notebook,1
United States,conduct patch testing,1
United States,distributed ledger technology,1
United States,cryptocurrency,1
